BOREID,FROM,TO,THICKNESS,SEAM
CMJP-07,0,4.5,4.5,WM
CMJP-07,240.75,243.85,3.1,18TOP
CMJP-07,254.14,255.59,1.45,18BOT
CMJP-07,434.25,446.49,12.24,15
CMJP-08,0,4.5,4.5,WM
CMJP-08,174.16,175.94,1.76,18TOP
CMJP-08,185.15,186.55,1.4,18BOT
CMJP-08,233.89,235,1.11,17
CMJP-08,338.95,341.34,2.39,16TOP
CMJP-08,367.97,370.3,2.33,16BOT
CMJP-10,0,4.5,4.5,WM
CMJP-10,236.66,239.85,3.19,18TOP
CMJP-10,251.55,253.28,1.62,18BOT
CMJP-10,299.72,303.24,3.52,17
CMJP-10,417.6,420.24,2.74,16TOP
CMJP-10,456.38,458.83,2.45,16BOT
CMJP-10,523.5,539.9,16.4,15
CMJP-11,0,4.5,4.5,WM
CMJP-11,136.07,138.72,2.65,18TOP
CMJP-11,150.38,151.48,1.1,18BOT
CMJP-11,204.4,206.48,2.08,17
CMJP-11,318.67,321.63,2.96,16TOP
CMJP-11,352.25,354.67,2.42,16BOT
CMJP-14,0,4.5,4.5,WM
CMJP-14,342.05,347.35,5.3,18TOP
CMJP-14,357.72,359.05,1.33,18BOT
CMJP-14,399.9,401.78,1.88,16TOP
CMJP-14,427.03,428,0.97,16BOT
CMJP-14,568.34,573.25,4.91,15TOP
CMJP-14,577.65,581.6,3.85,15BOT
CMJP-19,0,4.5,4.5,WM
CMJP-19,380.02,384.37,4.35,18TOP
CMJP-19,394.48,395.32,0.84,18BOT
CMJP-19,444.9,446.08,1.18,16TOP
CMJP-19,483.47,486.93,3.46,16BOT
CMJP-25,0,4.5,4.5,WM
CMJP-25,407,409.29,2.29,18TOP
CMJP-25,428.2,428.4,0.2,18BOT
CMJP-25,468.4,470.8,2.4,17
CMJP-25,525.96,527.86,1.9,16BOT
CMJP-25,695.6,708.3,11.8,15
CMJP-26,168.6,170.94,2.34,18TOP
CMJP-26,0,4.5,4.5,WM
CMJP-26,182.24,182.66,0.42,18BOT
CMJP-26,230.85,233.6,2.75,17
CMJP-26,334.15,336.87,2.72,16TOP
CMJP-26,359.4,361.4,2,16BOT
CMJP-27,0,4.5,4.5,WM
CMJP-27,330.29,332.75,2.46,18TOP
CMJP-27,383.83,384.6,0.77,18BOT
CMJP-27,430.95,434.16,3.21,17
CMJP-27,572.25,573.82,1.57,16TOP
CMJP-27,589.59,600.5,10.91,15
CMJP-28,0,4.5,4.5,WM
CMJP-28,268.56,271.06,2.5,18TOP
CMJP-28,287.28,288.25,0.97,18BOT
CMJP-28,347.73,351.28,3.55,17
CMJP-28,407.97,409.68,1.71,16TOP
CMJP-28,431.94,434.12,2.18,16BOT
CMJP-28,557.91,570.9,12.99,15
CMJP-29,0,4.5,4.5,WM
CMJP-29,167.79,170.4,2.61,18TOP
CMJP-29,183.34,184.06,0.72,18BOT
CMJP-29,232.96,236.15,3.19,17
CMJP-29,358.58,360.83,2.25,16TOP
CMJP-29,389.34,392.01,2.67,16BOT
CMJP-29,444.9,453.88,8.98,15
